,latitude,longitude,name
83495,40.80093,-73.94346,a brand new cozy shared room ( FEMALE ONLY )
83493,40.79903,-73.94539,Beautiful Cozy Shared Room (FEMALE ONLY )
74295,40.81179,-73.94151,Pull-out Sofa in Central Harlem w/Outdoor Patio
46827,34.04848,-118.31838,LA Human Story (휴먼 스토리) 남자방 DORMITORY-07
49534,34.10824,-117.8411,Warm and Cozy Townhouse
107943,40.64962687074144,-74.00997758755094,Sunset Park Bunkroom 3 (Ladies Only)
131517,32.77333,-117.25174,Single Bed In 6 Bed Dorm @ Mission Beach Hostel
63979,34.09324,-118.11725,Work service station
206715,26.17322,-80.14833,Single bed in Fort Lauderdale/Oakland Park C
65530,33.99919,-118.43571,"Pura Vida,Pure Life,
Westside is the best Side"
9686,38.95641,-77.01254,Modern Southwestern Twin in Upscale Boho Community
175837,30.3192221,-97.7300008,Shared room in 6BR Penthouse Apt w/ Rooftop Patio
36563,34.04738,-118.46044,Single bed in room for two
203553,26.05263,-80.14889,Df2)Shared room  /beach nearby.
133560,32.79186,-117.25452,Surf Hostel on Pacific Beach - 10 Bed Mixed Dorm
82251,40.73152,-74.00052,Shared Studio (females only)
57101,33.90583,-118.33936,Couch available to sleep on
49744,34.061,-118.12933,CouchSurfing  GymsParkSport nearby
108359,40.75800784440465,-73.86133995911396,Beautiful and inexpensive NY
13752,37.77472,-122.1838,loft bed with desk under(near oakland airport)
37933,33.97416,-118.30244,Everything you need
56111,34.03066,-118.28217,Nupac Apartment near USC
55948,34.04481620779435,-118.32687037028995,MystayLa103A Men`s Dormitoty
213918,36.11761,-115.08868,FLL cozy room near airport
35313,34.08096,-118.1247,Multi-cultural room with one bunk bed
166003,30.29616,-97.73817,Large Living Room w/ Couch and Loveseat
192219,46.05824,-93.65292,Campsite near Mille lac’s Lake and Soo Line Trail
94440,40.68826,-73.91027,Elegant Female Shared Bedroom |Central Bushwick
214462,36.09012,-115.12157,COUCH CRASH WITH EPIC JACUZZI & pool by airport!
112366,37.38889557094962,-122.01216749180436,Silicon Valley Startup Home（A2 ）
101384,40.71676,-73.95525,Bunk Bed Bliss with Rooftop
230831,37.70618,-122.46777,c2.2 Stay With Us
2084,37.75898,-122.42193,Modern 3BR Apt at Dolores Park
166735,30.32197,-97.72521,Guadalupe: Economic Spot in Fantastic Community
129918,32.74624,-117.2491,Not A Real Listing Only A Test
109564,40.808438133580594,-73.93013711640306,Mott Haven Dorm A
42840,34.05218,-118.27919,$20 - DTLA Shared Living - Great Amenities
207526,25.98876,-80.1453,Share room close the beach
75002,40.68109,-73.84244,A shared spacious bedroom with attached bathroom
41213,34.03174,-118.29099,1 spot in a very spacious 2 bed 2 bath apartment.
21209,29.95636,-90.13012,30 Day Vintaged  Loft  Bed In Hostel/Shared Home
128878,32.75301,-117.18584,California Space  / (1 of 5) COED Sleeping Spaces.
66089,34.21708,-118.53477,LA Fun Friendly Ranchstyle Home in Reseda nearCSUN
103349,40.76638,-73.93126,Comfy room
56911,34.12092230552893,-118.2548389825219,Zen HW Shared Bunk Room
64122,33.83597,-118.28103,"Beautiful, new apartment with Shared Space to Self"
46164,34.11957,-118.05075,优雅，舒适，安静
225315,42.34488,-71.15435,Spacious loft in the quiet suburbs #1
165457,30.28376,-97.70324,sold house moved away; how do I deactivate?
36785,34.10278,-118.34243,Orange Drive Hostel - Female Dorm
7893,38.93502,-77.03629,Comfy Futon in Great Northwest DC location
106537,40.78501588276279,-73.9533682897968,Private room in charming UES apartment
75476,40.66933,-73.97863,Friendly and well-located place to get away
86661,40.76455,-73.99111,"Shared Room for Traveler ,NYC"
29178,34.0606,-118.33466,"#F1-1 DTLA Hostel Full Bed, TV Locker, & More."
29587,34.04762,-118.3125,Gramercy Place-month to month dorms
39955,34.06347,-118.31134,Living space in Koreatown
107335,40.6522898,-73.959448,Brooklyn Castle
167210,30.31815,-97.73029,N.Lamar: Economic Spot in Great Community 2
35827,34.1006143,-118.3233099,Shared motorhome in Hollywood
69251,40.85665,-73.92874,Lovely Walk Up in the Heights
15497,37.73418,-122.19326,"Nice modern home, near Oakland airport."
98518,40.745144,-73.89637,Luxury Private bedroom in Queens
131338,32.71609,-117.14195,*Golden Hill Abode*
37647,34.10161,-118.32327,Affordable Hollywood (Carlos) long term stay
150969,39.75227,-104.99118,Stellar Shared Room Next to Best Bars in Denver!
51644,34.05229,-118.44261,UCLA / Westwood living room Spacious
33801,33.97242,-118.07064,Duchess place
