,latitude,longitude,name
123508,41.4789,-71.3151,"2 Bedrooms w/Loft & En-Suite Baths, Walk to Harbor"
35728,34.10351,-118.34068,Cozy Private Condo near Hall of Fame in Hollywood
107618,40.67490993902448,-73.98059801797959,Studio apartment-newly renovated-1 queen bed
182656,45.48261,-122.60798,Cozy retreat in SE Woodstock
117536,35.59221,-82.55866,DOWNTOWN! Seconds from it all!
31928,34.13683,-118.14559,Craftsman Character Guest House
218849,36.11315,-115.25576,Boho Oasis - 3BR house with private pool
71555,40.68414,-73.92791,Bright Brownstone 2BR BedStuy Apt
64313,34.10748,-118.24972,Trendy & modern centrally located apartment
209978,26.137312,-80.10931330000001,Beautiful  Ft Lauderdale Condo
200832,26.01754,-80.11788,CH- Brand New Luxury Condo With Ocean View and Just Steps From the Beach-300000038
7691,38.89003,-76.9864,Capitol Hill apartment: first floor living & bikes
82935,40.75014,-73.87702,1/2 block from train 7! entire apartment / Queens
137965,32.79464,-117.1561,Cute - Cozy - Studio Unit - 121
166655,30.30712,-97.69524,Cozy Large Home In Central Austin
102558,40.71604220196204,-73.96121587604284,Apartment in Williamsburg
123576,41.48059,-71.43563,Bonnet Shores Narragansett RI
35698,34.02769,-118.38501,Gorgeous Cottage in Culver City on Hayden Tract.
88985,40.76172,-73.96228,Modern Studio in the Elegant Upper East Side Neighborhood
75953,40.72053,-73.95541,1 Bedroom Apt. in Prime Williamsburg
25190,34.07775,-118.37247,"Luxe West Hollywood Villa | Pool, Spa, Location"
201107,26.14321,-80.12946,Home @ Poinsettia Heights
215631,36.17062,-115.14664,"You Found It! 3 Great Units, Free Parking"
64964,34.04464,-118.25239,"Loft DT, Los Angeles: 2 beds 1 bathroom"
192599,45.14981,-93.30036,3BR house with modern furnishings. Newly Built
90121,40.8319,-73.94157,Clean & Cozy 1BR Apt - Perfect for SOLO Traveler
3795,37.72332,-122.45671,San Francisco Cozy Get Away
160606,41.8634989,-87.62704269999999,"S. Loop 1BR w/ Roof, Gym & Lounge, 1 block to L"
196831,26.19029,-80.09796,Just a few minutes to the beach with Heated pool
219226,36.15747,-115.21819,Pet Friendly! The Banana Bungalow
137547,32.7992,-117.23228,(L) 1Bed/1Bath spacious on Thomas/crown point
45461,33.8713,-118.39263,The Boujie Nomad LUXURY Mercedes Sprinter Studio
159530,41.89923,-87.6384,The Orleans - Floor 3: Private rooftop deck!
112519,37.2333565,-121.7961795,No Cleaning Fees! Glam Zen Vibe!
231110,37.66196,-122.43952,"Luxury 3BDR/2BA Next To BART Subway, Close To SFO"
115532,37.35593,-121.87765,"Luxurious 1bed suite, ultraFastWifi, near SJ DT"
195504,26.17862,-80.09782,Fort Lauderdale Ocean View Beach Frontage
55233,34.15604,-118.00914,Beautiful Vacation House in a Nice Area
72655,40.71333,-73.99513,Cosy studio / newly renovated
118374,35.5872,-82.57082,The Triple Falls Room at River Row Flats - Room 302
215871,36.08881,-115.22461,Vegas Adventure Awaits! Close to STRIP and Airport
184439,47.61655,-122.34656,Space Needle View!
212329,36.21149,-115.09396,Loft style 2 level condo
75539,40.68925,-73.9414,BedStuy/Clinton Hill Brownstone
135431,32.78444,-117.25377,Side-by-Side Luxury Beach Condos Steps to Ocean!
162323,41.9003385,-87.7167284,Artsy Chic 2BR Condo With Free Parking
100882,40.54273,-74.149,"Modern One Bedroom, Private fenced yard"
213807,36.00086,-115.09396,"Henderson, NV, Upgraded, cozy, spacious condo"
76172,40.67104,-73.96036,One Bedroom off of Franklin Avenue in Brooklyn
63350,34.16821,-118.25564,Historic apartment
126526,41.48644,-71.31268,PERFECT LOCATION! Entire house downtown Newport!
121737,39.93912,-82.99189,Lion's Lair in German Village and private garage
24086,29.93095177583477,-90.11093489830908,Charming Uptown Studio
199178,26.24057,-80.09066,Casa LaVie with hot tub one block from the ocean
102888,40.82506,-73.85106,Cozy Two Bedroom Basement
37896,34.10284,-118.34346,Sophisticated Studio for sophisticated traveler
83689,40.68811,-74.00018,Sunny and Modern Cobble Hill 1 Bedroom
213382,36.11176,-115.27468,Modern/Stylish 3BR house near Las Vegas Strip
136761,32.75305,-117.05585,Cozy Modern Casita in La Mesa
9059,38.94295,-77.03489,Great Location.Spacious.Newly Renovated.2x Parking
142137,36.14534,-86.79034,Rustic Studio Walkable to Music Row
180260,45.4782,-122.61199,"Large, Private Woodstock Suite"
153640,39.736767,-105.044228,"Tiny Carriage House...""The Whistle Stop"" 30+ days"
219859,36.1158393,-115.1621238,Security & Safety by The Strip
200970,26.19714,-80.09717,Walk to the Beach Villa in Lauderdale by the Sea
200090,25.986013,-80.12281,Waterfront Views by RentMiami305
40488,34.10465,-118.33527,HOLLYWOOD: 99 Walk Score w King Bed-New Building!
7887,38.88254,-76.98646,Cozy Capitol Hill 1 BR English Basement
230353,37.49015,-122.45428,Luxo Stays |Beach Now| 5bd/3ba #getaway #staycation
88639,40.75226,-73.92881,Modern One BR Apt  750 sq.ft. (34 Days Min.)
122952,39.94871,-82.98019,W.O.W Words of Wisdom
122193,39.96448,-82.97045,Chic City Retreat: Columbus Studio
134163,32.77512,-117.25107,2 Levels of WaterFront ☆ Exclusive Patio ☆ A/C
193481,44.927073483009934,-93.156859863631,Cozy Saint Paul Studio
137521,32.75061,-117.13342,Best of North Park- walkable w/parking!
99136,40.74853,-73.97904,Lovely and spacious studio @Park Avenue (Midtown)
212435,36.21929,-115.20806,Affordable Place
185665,47.6106819,-122.3415914,"Downtown 1BR w/ Gym, W/D, walkable location"
215989,36.03646,-115.17339,"(1x08) Minutes to Strip, T Mobile Arena, Allegiant"
173444,30.29516,-97.70475,Landing | Modern Apartment with Amazing Amenities (ID704512)
3106,37.79285,-122.43445,1BR Condo Heart of Pac Heights * W/D * Walk Score 97
181962,45.50583,-122.63052,Modern Apartment in Prime Location (ID2439X76)
35629,34.05485,-118.10507,"3Bed, 2Bath Delicate Modern Home for 6 in Rosemead"
139872,32.74287,-117.18379,2 Separate central Flats - side by side
22857,29.99201,-90.07005,The Big Easy-Close to Everything
111803,37.38423,-121.88976,MSP2: Remodeled Executive 4 bd/3 ba Home
212189,36.1271,-115.21976,Large cozy ranch house
28743,34.04766,-118.25028,Downtown Los Angeles - Historic Core Loft
174735,30.22529,-97.74432,Stylish 2 Bed Townhome with Pool & Tennis Court
125039,41.50277,-71.29711,Townhouse 17
135598,32.7889,-117.25489,Mid-Century Modern 1BR/1BA Beach Apartment
72003,40.66714,-73.9308,Parkway Chic ( 2 Bedrooms)
77200,40.83026,-73.8238,IDEALLY LOCATED COZY COTTAGE
138179,32.7043134,-117.1494857,The Terracotta Clubhouse
110979,37.23811,-121.81443,"Cheerful 3 bedroom, study, 2 bath open floor plan"
208999,26.01615,-80.11584,Worth Traveling| Hot tub & Unique Rooftop pool
101285,40.75869,-73.98303,Steps From Times Square and all transportation
97276,40.60791,-73.96396,Loverly 3 Bedroom Apartment Centrally Located.
173513,30.231619,-97.775818,"SOLA
HOUSE"
126990,41.49087,-71.31975,CW Long Wharf Resort | 1BR/1BA Double Bed Deluxe
173854,30.23199,-97.73308,La Riverside Townhome Condo - 2/1.5
35795,33.98945,-118.4752,Venice Landmark Steps to the Beach
139141,32.748922059296056,-117.19135826642994,Modern Comfy Apt In the ❤️ of Old Town w/WiFi+Cable
208287,26.13992,-80.11231,°Adorable Studio° Close to the Beach W/ Parking
138014,32.80914,-117.17479,Easy Cruiser
176000,30.25567,-97.73775,"Sunny, Spacious  King Condo Suite * Pool * Kitchen"
221553,36.1222909,-115.1836821,Luxury 4 Bedroom Presidential Condo New Years Wknd
183365,47.65836,-122.31606,UW Elegant & Clean  (48)
22497,29.97825,-90.10458,Furnished Studio Steps to NOLA Hot Spots
185762,47.62354,-122.30091,Urban Oasis in Capitol Hill
51773,33.97977,-118.46681,Venice Beach Getaway Steps From Sand
44335,33.95661,-118.44433,Walk to Beach From Big LA House-4br+2ba*Top Locale
156829,41.91394,-87.78921,Cozy Family Friendly  Home in Chicago (Galewood)
66347,34.0964,-118.36403,1BR Hotel Style Living in Weho
87874,40.74435,-73.82452,New Beautiful 3-4 Bedroom/Outdoor Kitchen! Parking
1691,37.77726,-122.499298,Peaceful Zen Garden Flat to Charm and Recharge You
150561,37.10187,-121.92829,Cozy Guest Suite L1 45acre Redwood Retreat Wi-Fi
76141,40.67645,-73.95071,Bergen street in Crown Heights - French speaking
86838,40.72106,-73.97981,❤️Cozy 2bd Apt in the Village! ❤️
97673,40.71851283177056,-73.99597709362786,Sunny Apartment in the Heart of Downtown NYC
224175,36.11519,-115.19999,VF15 Strip View Studio/No Resorts Fee/Lobby Bar
227264,42.36033,-71.06717,Lovely beacon hill 2 bed 2 bath apt in boston
153306,39.73285,-104.95592,Historic Dutch Victorian
226641,42.352093,-71.06081,Bright 1BR | Work Desk + WiFi | Downtown Boston
