,latitude,longitude,name
102567,40.6874908,-73.9319414,Lovely 1-bedroom rental in Brooklyn
107729,40.7191021594079,-74.00105721013063,"Rare Find! 4 Relaxing Units, Pets Allowed!"
78578,40.66061,-73.94211,L.A.J Laughter & Joy Rest  Spot.( 3 )
58060,34.08671,-118.30321,"Spacious, central with private bedroom and parking"
54613,34.0456,-118.36396,*Chic Mid-City Oasis with Private Entrance & Bath
203000,26.012095,-80.40028699999999,Master room  with bathroom tub
13562,37.80993,-122.24941,Cute apartment with a great view
78818,40.68967,-73.91875,Spacious private room in artsy Bushwick Brooklyn
74048,40.71055,-73.9535,Comfortable 420 Friendly Room
6405,37.73641,-122.4323,Private room in a cottage
43210,33.93897513019077,-118.31882621309984,4 beds Private Room- Villa Perla
79605,40.64206,-73.91113,Suite Luxe - Luxury & Modern Comfort
164252,30.27879,-97.71672,Lovely ensuite in East downtown Austin!
113032,37.2741,-121.85362,Communication hill.
199446,26.16799,-80.23651,Kozy And Charming Lauderhill Spot with Pool & Gym
66708,34.02156,-117.80541,RoomA
102966,40.75019,-73.97924,Sonder The William | Queen Room
164050,30.25772,-97.7252,Cozy Room in Little House... walk downtown
172446,30.27918,-97.72051,Cozy Private Bedroom in a New East Austin House
139472,32.73637,-117.09589,Private Room/Bath - Convenient Location - Hot Tub
229717,37.68396,-122.47998,"Rm 1 - Spacious Room near Colma BART, SF & SFO"
12177,38.90748,-77.00692,citizenM Washington DC Noma
84743,40.8319,-73.94641,Cozy Private Suite in the Heights!
156705,41.85276,-87.69828,"Large Bedroom in Bright, Sunny Apartment"
195631,26.31097,-80.11497,Private room close to the beach!
190458,44.72032,-93.45252,"Super Bowl - Rooms for rent, Prior Lake, MN"
54266,34.06402,-118.29681,Clean Apartment in Koreatown
83019,40.76288,-73.96906,Best Nest.
157218,42.00036,-87.68099,Safe & Available for Last Minute Travelers
65928,34.16773,-118.14314,NEW 2 Private King Rooms w/ bath in Pasadena
86175,40.70863,-74.01479,"Club Quarters World Trade Center, Standard Room"
101858,40.7542,-73.96811,huge bedroom
275,37.73386,-122.4638,Fabulous Blue Safe+clean+Parking+OceanView 3 Bath
116124,37.38987,-121.87759,#Lovely & Comfortable room in San Jose
101981,40.75109,-73.98563,"Your Perfect NY Trip! On-site Dining, Parking!"
33870,34.10983,-118.16734,"Arroyo Vista Inn, Daybreak, Delightful craftsman"
101749,40.74412,-73.98736,"Location, Location, Location - Studio in Flatiron"
27322,34.16422794717839,-118.455198751933,Luxury Designer Suite In Mansion
3847,37.75808,-122.39919,Potrero Hill Home with a View - 2 Private Bedrooms
76105,40.70213,-73.92449,Bushwick room. 10 mins on L train from Manhattan.
70622,40.65691,-73.95721,Sublet in Furnished Master Bedroom
175781,30.229391549421464,-97.69646207344596,Private Space in The Green House
78564,40.72271,-73.94254,Master Bedroom - Private Balcony onto Manhattan
62362,34.00278,-117.95212,Hacienda Heights room at home 哈崗單間房間
163361,41.84555936816936,-87.64728065490276,Street Parking + 2min to CTA
76806,40.75048,-74.00533,Nicest Room in Manhattan - Chelsea Beauty
30929,34.16288798854876,-118.45449319240704,Presidential Suite In A Mansion
110584,42.36603,-71.10456,private room close to central sq
85797,40.5479,-74.21088,Cozy Place
119821,35.596668,-82.558449,Luxury Penthouse Suite in Downtown Asheville
2894,37.72463,-122.41561,Private Bed/Bath next to John Mclaren Park 2
26873,34.06566,-118.38772,Beautiful Room & Private Bathroom in Beverly Hills
87734,40.7478,-73.99045,Big bedroom in the heart of NYC
64537,34.19146,-118.13046,Sunny Room in Beautiful Altadena
160521,41.87655,-87.70362,7B2eih3 Cozy Night's Stay -Queen Bedroom7c4/
191040,44.95087,-93.36967,Co-Live in the Twin Cities (LT avail)
34009,34.16414304904831,-118.45615946879047,Designer Suite In A Mansion
216412,36.13691,-115.15169,LasVegas 4 Bedroom Hotel&Casino Presidential Suite
67995,40.6748,-73.94521,Private Bedroom WITH Living room and working space
34719,34.04742,-118.44769,Penthouse Private Room
31889,34.16359401933177,-118.45672949310182,Luxury Tropical Suite In Mansion
184990,47.73092,-122.35531,A cozy hidden gem lovingly maintained in N Seattle
1077,37.76155,-122.42421,Dolores Terrace Hidden Gem
183988,47.70283,-122.29219,Meadowbrook's best Airbnb close to bus line
124971,41.48188,-71.529,16-4  Bright first floor room at the base of URI
108386,40.73395,-73.95414,Charming Bedroom in Greenpoint
38846,33.77064,-118.20086,Long Beach: Private room with all the essentials
214710,36.10566,-115.16647,"888 # 65, MGM Signature Two (2) Bedroom Suites !"
