,latitude,longitude,name
78629,40.72391,-73.98413,Unique East Village Duplex in NYC
115033,37.32062,-121.98311,Cute room close to Apple Park w/Asian orAmerica BF
177944,30.458017324685272,-97.76425267587844,Bright Airy Rustic Home!
82450,40.74132,-73.89107,Room in 3BR/2BA APT Elmhurst 9min to 7/E/F/M/R
107027,40.67647870085571,-73.95004061761941,A Room for You in Crown Heights (Women-Only)
85610,40.69559,-73.91947,Private room with bathroom
168212,30.17846,-97.77191,Airbnb South Austin.
25255,34.16396,-118.45631,Nautical Suite In A Mansion
35437,34.16401,-118.45672,Luxury Tropical Suite In Mansion
216358,36.12895,-115.21992,Private Entranced Bed & Bath by Strip & Chinatown
81794,40.70996,-74.00694,Downtown Manhattan! -February - Fidi/CityHall
81407,40.64396,-73.99293,Minimalistic Cozy Room
80225,40.79412,-73.94731,The Luna’s apartment
66596,34.08106,-118.3911,Sonder Beverly Terrace | King Room
31456,34.05769,-118.36717,Quiet spot in the middle of LA city
5416,37.76658,-122.41996,Cozy & sunny private room in the heart of SF
63140,34.12351,-118.06411,Home sweet home
157194,41.90238,-87.67771,Wicker Park/Ukie Village Classic Chicago Greystone
221422,36.0555,-115.10424,Private King suite / private bathrm
29701,34.15967,-118.45729,Sweet Dreams Bed & Breakfast -King Suite
89243,40.81985,-73.9389,"Modern, Private Room in Harlem"
1698,37.7873,-122.40754,The Bartlett QUEEN
81853,40.75128,-73.85356,"Near LaGuardia Airport, Clean Private Luxury Suite"
138369,32.8364,-117.17358,The Clairmont Place (Private Room).
49736,34.08668,-118.31544,Private room w/balcony
2134,37.7137,-122.44863,PRIVATE BEDROOM WITH SHARED BATHROOM IN HOUSE
219183,36.122757,-115.228355,big room and peaceful house at a great location
230176,37.5561,-122.30765,Beautiful townhouse in San Mateo
201862,25.9935,-80.2506,Habitación con espacios compartidos Miramar FL
32650,34.19196,-118.11268,Mid Century Eaton Canyon Retreat
118085,35.59674,-82.50202,Home away from home!
13925,37.78315,-122.19583,"Pet-friendly, quiet retreat with sweeping views!"
223929,36.22527,-115.24558,Long term rent Studio.
84431,40.6549,-73.91672,Great place in bklyn 420 friendly
105688,40.764206380697054,-73.90776978515015,Your Private Studio in New York
32904,34.16222,-118.45468,Hawaiian Suite In A Mansion
111477,37.324245,-121.838577,San Jose Honey Im Home!Privare Room /share BR No2
230310,37.63134,-122.47181,❤️ 10min FROM SFO (EASY STREET PARKING)
56904,34.0555286937109,-118.40136255536731,Getaway near Beverly Hills!
63981,34.04879,-118.34731,"Amazing Queen Room 
Gorgeous"
134498,32.72006,-117.12245,Charming Sun Room in South Park
156216,41.85669,-87.65132,Private room near Downtown
166662,30.29307,-97.70299,All Welcoming! Private 2nd floor Bed Bath & Living
62920,34.16411,-118.45471,Private Designer Suite In A Mansion
87384,40.68972,-73.93183,cozy garden brownstone
213274,36.0973,-115.16658,Relaxing Vegas Resort 1 Bdrm Suite near MGM Grand
225745,42.30742,-71.06513,B204 New AC & Heating Boston private room
22063,29.97243,-90.07564,New - Degas House - Garret Quad
185425,47.54065,-122.28214,RA - Rainier Queen Room (Walk to Metro)
178503,45.54458,-122.60223,"Authentic Portland Flavor, Central!"
2096,37.80122,-122.42536,Lumber Inspired Grand Bedroom! (Russian Hill)
213371,36.10144,-115.21244,*Worldmark Las Vegas Tropicana Ave- 1 Bedroom
217115,36.28626,-115.13638,Tierra Santa
87367,40.8554811,-73.9143505,Vee’s comfort zone .
229143,37.53545,-122.24956,"""A Room with a View""... of the beautiful lagoon!"
94099,40.65468,-73.91939,SABA/SGU Residents/Students Housing near Brookdale
217245,36.15513,-115.04471,Be my Guest Today.
72797,40.68581,-73.95847,Peaceful Brooklyn Sancutary
73050,40.8292,-73.94874,"Sunny, Quiet, Huge Room in UWS"
112109,37.3883816,-121.8980387,Stay Like a Local
31762,34.16439,-118.455,Tropical Paradise Suite In A Mansion
203844,26.02339,-80.16533,Private room with bathroom. Independent access
168376,30.28322,-97.74773,Nice private bedroom near UT Austin
187915,47.60052,-122.29523,NE Daylight Suite
25459,34.13706,-118.70623,Malibu Cyn Master Ste Students&Young Professionals
81382,40.80964,-73.92174,LOVE MANHATTAN 3
85757,40.760452,-73.76606,"Queens Hotel, Sunny Double, 25 MIN To Manhattan"
71542,40.63737,-74.00303,NiceRoomNiceNeighborhoodCloseMaimonidesHospitaNYUH
216179,36.08972,-115.24917,Nature Themed Vista with Indoor Balcony
156492,41.90324,-87.69563,Renovated Victorian Beauty
106817,40.76845,-73.90862,Furnished Twin Bedroom B in #1266: Astoria
161649,41.8798,-87.6792,i3-Right in front United Center&Next to Downtown
113084,37.430607,-121.88298,Guest Suite&Private Bathrm&680/Calaveras/Milpitas
223069,36.1163477,-115.1772156,3 Connecting Hotel Suites - 3 beds
73375,40.75664,-73.86762,"Cozy room, near LaGuardia Airport"
84068,40.68933,-73.99572,Bedroom in heart of Cobble Hill BK w/ private roof
44197,34.06776,-118.103,Cozy 1 BR/BA w/ Outdoor Patio- 5⭐️ Rating-SG Valley
212101,36.03646,-115.17119,In The Garden 2 Queen Suite - Vegas
32813,34.16441967174569,-118.45486221653492,Luxury 3 BDRM Suite In A Mansion
220763,36.032587,-115.130583,Mid-Century 1-Bedroom in Las Vegas Townhouse
19912,29.93325,-90.092,"Private Suite, Entrance  & Bathroom (kitchenette)"
26197,34.06395,-118.37287,"Private Little Cabin Room in Midcity, Best Area LA"
138725,32.80358,-117.22164,Shared house/ bathroom. No kitchen & living room
163166,41.82881576674946,-87.64687367897614,100 home away from home
21072,29.96529,-90.0625,Garden View Room in Historic Mansion
87200,40.85594,-73.83881,Quiet place
87769,40.68524,-73.91362,2020 Remodeled Brand New apartment in Bushwick
77755,40.76762,-73.98485,Quiet place-heart of NYC
71303,40.75952,-73.99433,2 bed apartment 2 blocks from 42 st
41594,34.17905,-118.29875,Los angeles Multi-unit building
66897,40.68048,-73.93938,The Art Room for two in Brownstone for $1250/mo
221720,36.17295,-115.1469,"Excellent Place to Stay! 4 Convenient Units, Pool"
167731,30.3747,-97.66619,Quaint room in North Austin — business / tech
158447,41.9068,-87.66616,Clean one bedroom with private bathroom
74633,40.66737,-73.99075,Perfect Summer Apartment (1 Bedroom available)
154488,39.73619,-104.9194,Central Denver Room with Plenty of Parking
167282,30.39535,-97.9189,White Cloud; LakeView/Pool/Hot Tub
63408,34.10157,-118.38161,magnificent villa with swimming pool
6661,37.80017066033598,-122.43814282495136,Large Beautiful Flat in Cow Hollow 99 Walk Score
216627,36.1237,-115.30617,AY9G-Quiet/Clean with shared bathroom
228473,42.31828,-71.0533,Furnished Full Bedroom C in #1357: JFK/UMass
192672,45.00039,-93.14646,Large bedroom with a super comfy bed
18294,29.96984,-90.0522,"Spacious, Clean, and Cozy Bedroom in St. Roch"
28320,34.05629,-118.33194,Guest Rm. Hancock Park area
108883,40.74864822525576,-73.87930078888272,Espaciosa y acogedora habitación
17427,29.96639,-90.09318,Mid City Rose Room
67636,40.71973,-73.99147,"Clean Private Bedroom on Lower East Side,Manhattan"
33032,34.16281768724555,-118.45468377252465,Tropical Suite In A Mansion
7059,38.96885,-77.00968,Furnished Private Room South of Takoma D.C.
65345,34.01186,-117.80987,山景house花园客房（一室一厅）
203306,26.10867,-80.10552,"2 Convenient Units! Onsite Pool, Parking"
222699,36.1031476707207,-115.156715582666,36 - 2 Bedroom Combined
448,37.72253,-122.40874,Private Guest Suite with Private Bathroom and Entrance in SF
143777,36.11281,-86.81204,Private Nook in Nashville near The Bluebird Cafe!
6398,37.78888,-122.42243,Classic SF Boutique Hotel Room
110269,42.3683,-71.10534,(17) Two beds room with private bath 7 min from T
139363,32.81999,-117.18288,Private Guest wing with 2bd/2bth
184415,47.53362,-122.2772,Upper - Brighton Guesthouse (Walk to Metro)
102478,40.7526680451805,-73.9724844231959,Midtown 45 Resort - 1 Bedroom Suite
110448,42.36767583254747,-71.09094796344847,Furnished Full Bedroom A in 1297
22871,29.96426,-90.0614,Quirky and Cozy Private Bunk Room in FQ
127809,32.85701,-117.23406,La Jolla bedroom close to UCSD
216757,36.03789,-115.23027,Master-Suite|5StarService|EndlessSpace-FreeParking
80878,40.79848,-73.94188,NYC Sunny Modern Private Bath - Clean Near All!
90588,40.70576,-74.00565,High Floor River View King Bed Hotel Room
127977,32.83983,-117.25542,"Scripps Pier Suite: Total privacy, Bed & Bath"
126850,41.43136,-71.46375,"Beautiful private suite, 2 minutes from the beach!"
10240,38.89923,-77.041,"Lux 1 BR , Private Terrace , 24/7 Onsite Team"
2580,37.73053,-122.40522,Master Suite and Living Room
231681,37.45932,-122.14641,Private 1 bedroom 1 bath in a Menlo Park house
79821,40.6885,-73.93008,"Clean Private Room, 10 min from 2 subway lines."
175412,30.2715984321747,-97.747574150252,Austin Resort - 2 Bedroom Deluxe
44646,34.11844,-118.22772,Supper Clean Big Bedroom w/Shared Bath(Brand-new)
26012,34.16244,-118.44572,Private room/private bathroom/great location!
46458,34.08439,-118.07529,#A2 Private Bath convenience safe clean 月租1000
229783,37.66205,-122.46722,ComfyBright Room+PrivateBath+FreeParking+10Min SFO
95578,40.61012,-73.97985,"Large closest,HDTV room,38 min to Manhattan #19"
113039,37.27471,-121.96333,Lovely Garden Studio in Campbell
192032,44.63538,-93.14439,Guest room with private entrance
25571,34.14796,-118.42537,Top Floor Private Room & Bathroom for Rent
191851,44.91932,-93.32661,Newly-remodeled master suite in a lovely home
12730,38.89624,-76.98366,Queen Bedroom A w/ Private Bathroom in #1110
225011,36.03011,-115.3029,Master Bedroom in Spacious Home
41552,34.06009,-118.13133,One room with 2 Queenbeds big room shared bathroom
87064,40.63545,-74.00564,Private bathroom outside the room
25186,34.16374,-118.45675,Tropical Suite In A Mansion
114932,37.33987107132776,-122.0032053881538,Private Room Across from Apple Headquarters
89448,40.74014,-73.92638,Relaxing City - Sunnyside : Easy access Manhattan
156425,41.92125,-87.70158,Home in Vibrant Logan Square
39615,34.06901,-117.91933,温馨舒适的小驿站
47309,34.01509,-118.4125,"Peaceful, Convenient, Casita"
81734,40.64919,-73.93056,Cozy and Convenient
27289,34.04877,-118.24116,Sweet Room at Little Tokyo! Girls Only
107123,40.67603527451344,-73.94125439712168,Sweet stay
